model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7495107632093934,0.13986013986013987,0.8,0.23809523809523808,0.8419135802469135
XGBoost,0.9461839530332681,0.3076923076923077,0.08,0.12698412698412698,0.7984362139917696
Random Forest,0.9412915851272016,0.08333333333333333,0.02,0.03225806451612903,0.7915329218106996
